true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13
class_0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
class_1,0,19,0,0,0,0,0,1,0,0,0,1,0,0
class_2,0,0,21,0,0,0,0,0,0,0,0,0,0,0
class_3,0,0,1,20,0,0,0,0,0,0,0,0,0,0
class_4,0,0,0,0,21,0,0,0,0,0,0,0,0,0
class_5,0,0,0,0,0,11,0,0,0,9,0,1,0,0
class_6,0,0,0,0,0,0,14,0,0,0,0,7,0,0
class_7,0,0,0,0,0,0,0,21,0,0,0,0,0,0
class_8,0,0,0,0,0,0,0,0,21,0,0,0,0,0
class_9,0,0,0,0,0,0,0,0,0,21,0,0,0,0
class_10,0,0,0,0,0,0,0,0,0,0,21,0,0,0
class_11,0,0,0,0,0,0,0,0,0,0,0,21,0,0
class_12,0,0,0,0,0,0,0,0,0,0,0,0,21,0
class_13,0,0,0,0,0,0,0,0,0,0,0,0,0,21
