model,dataset,latency_bs1_ms,warmup_runs,measure_runs,note
MLP,UT_HAR_data,0.214,50,200,
LeNet,UT_HAR_data,0.6646,50,200,
ResNet18,UT_HAR_data,4.0602,50,200,
ResNet50,UT_HAR_data,9.6246,50,200,
ResNet101,UT_HAR_data,18.2574,50,200,
RNN,UT_HAR_data,0.4536,50,200,
GRU,UT_HAR_data,0.4936,50,200,
LSTM,UT_HAR_data,0.5519,50,200,
BiLSTM,UT_HAR_data,0.8028,50,200,
CNN+GRU,UT_HAR_data,1.0255,50,200,
ViT,UT_HAR_data,1.2765,50,200,
MLP,NTU-Fi_HAR,0.7793,50,200,
LeNet,NTU-Fi_HAR,0.5437,50,200,
ResNet18,NTU-Fi_HAR,4.0315,50,200,
ResNet50,NTU-Fi_HAR,9.6252,50,200,
ResNet101,NTU-Fi_HAR,18.1903,50,200,
RNN,NTU-Fi_HAR,0.727,50,200,
GRU,NTU-Fi_HAR,0.7926,50,200,
LSTM,NTU-Fi_HAR,0.8662,50,200,
BiLSTM,NTU-Fi_HAR,1.2022,50,200,
CNN+GRU,NTU-Fi_HAR,1.4162,50,200,
ViT,NTU-Fi_HAR,1.2985,50,200,
MLP,NTU-Fi-HumanID,0.8079,50,200,
LeNet,NTU-Fi-HumanID,0.5489,50,200,
ResNet18,NTU-Fi-HumanID,4.0191,50,200,
ResNet50,NTU-Fi-HumanID,9.5611,50,200,
ResNet101,NTU-Fi-HumanID,18.2073,50,200,
RNN,NTU-Fi-HumanID,0.7301,50,200,
GRU,NTU-Fi-HumanID,0.7967,50,200,
LSTM,NTU-Fi-HumanID,0.8703,50,200,
BiLSTM,NTU-Fi-HumanID,1.2027,50,200,
CNN+GRU,NTU-Fi-HumanID,1.4244,50,200,
ViT,NTU-Fi-HumanID,1.2933,50,200,
MLP,Widar,0.214,50,200,
LeNet,Widar,0.4895,50,200,
ResNet18,Widar,4.1114,50,200,
ResNet50,Widar,9.6758,50,200,
ResNet101,Widar,18.3613,50,200,
RNN,Widar,0.2734,50,200,
GRU,Widar,0.2724,50,200,
LSTM,Widar,0.3011,50,200,
BiLSTM,Widar,0.3226,50,200,
CNN+GRU,Widar,0.8387,50,200,
ViT,Widar,1.2114,50,200,
